296: TT=96 | TEN=Quản lý Rãnh dọc | PATH=http://localhost:4000/phu-tro/ranh-doc
301: TT=97 | TEN=Quản lý Rào chắn ồn | PATH=http://localhost:4000/dac-thu/rao-chan-on
306: TT=98 | TEN=Quản lý Tôn hộ lan | PATH=http://localhost:4000/phu-tro/ton-ho-lan
311: TT=99 | TEN=Quản lý Thảm cỏ cây xanh | PATH=http://localhost:4000/phu-tro/tham-co
316: TT=100 | TEN=Quản lý Thiết bị cân xe | PATH=http://localhost:4000/dac-thu/tram-can-xe
321: TT=101 | TEN=Quản lý Thiết bị O&M | PATH=http://localhost:4000/tai-san/thiet-bi-om
326: TT=102 | TEN=Quản lý Thiết bị thí nghiệm | PATH=http://localhost:4000/phu-tro/thiet-bi-thi-nghiem
331: TT=103 | TEN=Quản lý Trạm dừng nghỉ | PATH=http://localhost:4000/dac-thu/tram-dung-nghi
336: TT=104 | TEN=Quản lý Trạm thu phí | PATH=http://localhost:4000/dac-thu/tram-thu-phi
341: TT=105 | TEN=Quản lý Trung tâm điều hành | PATH=http://localhost:4000/dac-thu/trung-tam-dieu-hanh
346: TT=106 | TEN=Quản lý Vạch kẻ đường | PATH=http://localhost:4000/phu-tro/vach-ke
351: TT=107 | TEN=Quản lý thiết bị văn phòng, thiết bị CNTT | PATH=http://localhost:4000/tai-san/thiet-bi-van-phong
356: TT=108 | TEN=Quản lý cấu hình cảnh báo tài sản | PATH=http://localhost:4000/he-thong/cau-hinh-canh-bao
360: TT=IV.2. | TEN=Quản lý tài sản thanh lý | PATH=
361: TT=109 | TEN=Khởi tạo yêu cầu thanh lý tài sản | PATH=http://localhost:4000/tai-san/thanh-ly
365: TT=110 | TEN=Phê duyệt yêu cầu thanh lý tài sản | PATH=http://localhost:4000/tai-san/thanh-ly
369: TT=111 | TEN=Cập nhật thông tin tài sản thanh lý | PATH=
372: TT=112 | TEN=Xuất báo cáo thanh lý tài sản | PATH=http://localhost:4000/tai-san/thanh-ly
375: TT=113 | TEN=Lưu trữ hồ sơ thanh lý tài sản | PATH=http://localhost:4000/tai-san/thanh-ly
377: TT=114 | TEN=Theo dõi trạng thái thanh lý tài sản | PATH=http://localhost:4000/tai-san/thanh-ly
380: TT=V.3. | TEN=Quản lý tài sản thanh hủy | PATH=
381: TT=115 | TEN=Khởi tạo yêu cầu Thanh hủy tài sản | PATH=
385: TT=116 | TEN=Phê duyệt yêu cầu Thanh hủy tài sản | PATH=
389: TT=117 | TEN=Cập nhật thông tin tài sản Thanh hủy | PATH=
392: TT=118 | TEN=Xuất báo cáo Thanh hủy tài sản | PATH=
395: TT=119 | TEN=Lưu trữ hồ sơ Thanh hủy tài sản | PATH=
397: TT=120 | TEN=Theo dõi trạng thái Thanh hủy tài sản | PATH=
400: TT=V.4. | TEN=Quản lý kiểm kê tài sản | PATH=http://localhost:4000/tai-san/kiem-ke
401: TT=121 | TEN=Lập kế hoạch kiểm kê tài sản | PATH=http://localhost:4000/tai-san/kiem-ke
